Wall time,Step,Value
1680860007.341198,400,-120.5162124633789
1680860011.427758,800,-120.91836547851562
1680860015.298309,1200,-123.97412109375
1680860019.224694,1600,-124.10819244384766
1680860023.1762712,2000,-124.15825653076172
1680860027.168927,2400,-124.08495330810547
1680860031.200439,2800,-123.98352813720703
1680860035.287992,3200,-124.38069915771484
1680860039.2973802,3600,-124.03357696533203
1680860043.2279391,4000,-124.5767593383789
1680860047.217762,4400,-124.21981048583984
1680860051.239788,4800,-124.32368469238281
1680860055.252958,5200,-124.3542251586914
1680860059.28498,5600,-124.08887481689453
1680860063.430332,6000,-124.40621948242188
1680860067.4981701,6400,-124.65774536132812
1680860071.436666,6800,-124.59819030761719
1680860075.425576,7200,-124.636474609375
1680860079.476171,7600,-124.69185638427734
1680860083.433957,8000,-124.59497833251953
1680860087.359593,8400,-124.5495376586914
1680860091.364514,8800,-124.40757751464844
1680860095.285704,9200,-124.50577545166016
1680860099.245489,9600,-124.51171112060547
1680860103.262686,10000,-124.52494812011719
1680860107.243912,10400,-124.77875518798828
1680860111.2359219,10800,-124.91221618652344
1680860115.3178089,11200,-124.33405303955078
1680860119.294162,11600,-124.32344055175781
1680860123.342168,12000,-124.20563507080078
1680860127.369537,12400,-124.23651885986328
1680860131.391513,12800,-124.26629638671875
1680860135.35286,13200,-124.31698608398438
1680860139.362837,13600,-124.55916595458984
1680860143.379412,14000,-124.2571792602539
1680860147.4147232,14400,-124.58950805664062
1680860151.4264362,14800,-124.4948501586914
1680860155.448274,15200,-124.2730484008789
1680860159.500695,15600,-124.64229583740234
1680860163.5467699,16000,-124.6024169921875
1680860167.549737,16400,-124.4365005493164
1680860171.617812,16800,-124.29096221923828
1680860175.621993,17200,-124.26976776123047
1680860179.546345,17600,-124.3773422241211
1680860183.466175,18000,-124.21561431884766
1680860187.5226529,18400,-124.0473861694336
1680860191.501736,18800,-124.13629150390625
1680860195.488832,19200,-123.76544189453125
1680860199.502882,19600,-123.83972930908203
1680860203.585681,20000,-123.97425079345703
1680860207.606258,20400,-123.9606704711914
1680860211.600922,20800,-123.80608367919922
1680860215.638359,21200,-124.12873077392578
1680860219.5778859,21600,-124.36933135986328
1680860223.6531892,22000,-124.35360717773438
1680860227.604684,22400,-124.37905883789062
1680860231.5976262,22800,-124.45086669921875
1680860235.6316211,23200,-124.30535125732422
1680860239.652004,23600,-124.24056243896484
1680860243.666604,24000,-124.26093292236328
1680860247.688967,24400,-124.27904510498047
1680860251.92767,24800,-124.49373626708984
1680860256.082649,25200,-124.70606231689453
1680860289.0252469,25600,-124.66107940673828
1680860293.0494652,26000,-124.67975616455078
1680860297.023655,26400,-124.66963958740234
1680860300.995028,26800,-124.80310821533203
1680860304.9906769,27200,-124.68170928955078
1680860308.927302,27600,-124.7730712890625
1680860312.9244769,28000,-124.92786407470703
1680860316.8665988,28400,-125.24299621582031
1680860320.779231,28800,-125.22628784179688
1680860324.7390022,29200,-125.3525390625
1680860328.678741,29600,-125.47830963134766
1680860332.7296572,30000,-125.29588317871094
1680860458.8833642,30400,-125.23253631591797
1680860463.684293,30800,-125.56166076660156
1680860468.097192,31200,-125.3432846069336
1680860472.40474,31600,-125.16597747802734
1680860476.558008,32000,-125.40327453613281
1680860480.564173,32400,-125.54898071289062
1680860485.159181,32800,-125.48564910888672
1680860489.4152892,33200,-125.33842468261719
1680860493.712628,33600,-125.14073944091797
1680860497.785842,34000,-125.017333984375
1680860501.8601952,34400,-125.01859283447266
1680860505.94845,34800,-124.69734954833984
1680860510.026453,35200,-124.89315795898438
1680860514.135534,35600,-124.72197723388672
1680860518.2374341,36000,-124.43162536621094
1680860522.434004,36400,-124.69319152832031
1680860526.517128,36800,-124.5798110961914
1680860530.6364002,37200,-124.80455017089844
1680860534.759784,37600,-124.7280044555664
1680860538.894654,38000,-124.9048080444336
1680860543.027894,38400,-124.89068603515625
1680860547.398006,38800,-125.14154815673828
1680860551.561812,39200,-125.33575439453125
1680860555.549512,39600,-124.92058563232422
1680860559.6121411,40000,-125.00691223144531
1680860563.6073349,40400,-125.08372497558594
1680860567.61855,40800,-124.9347915649414
1680860571.619043,41200,-125.30321502685547
1680860575.610521,41600,-125.3731689453125
1680860579.5477362,42000,-125.39276885986328
1680860583.581088,42400,-125.17948913574219
1680860587.536583,42800,-125.33589935302734
1680860591.5390909,43200,-125.64000701904297
1680860595.549163,43600,-125.99620056152344
1680860599.570745,44000,-126.10753631591797
1680860603.5588841,44400,-126.09744262695312
1680860607.544331,44800,-126.27356719970703
1680860611.582773,45200,-126.12313079833984
1680860615.562164,45600,-126.03416442871094
1680860619.5020502,46000,-126.27950286865234
1680860623.498923,46400,-125.87154388427734
1680860627.4709818,46800,-126.0694351196289
1680860631.372364,47200,-126.11310577392578
1680860635.363425,47600,-125.77765655517578
1680860639.359359,48000,-125.58116149902344
1680860643.357877,48400,-125.41832733154297
1680860647.32029,48800,-125.3752212524414
1680860651.348164,49200,-125.18307495117188
1680860655.370286,49600,-125.43695068359375
1680860659.2596219,50000,-125.71720123291016
1680860664.1846888,50400,-125.27214050292969
1680860668.72511,50800,-123.7303695678711
1680860673.238828,51200,-123.19822692871094
1680860677.445247,51600,-121.88182830810547
1680860681.6350248,52000,-120.39666748046875
1680860685.970752,52400,-117.27854919433594
1680860690.2344792,52800,-114.94483947753906
1680860694.539938,53200,-112.32096099853516
1680860698.9362109,53600,-108.47244262695312
1680860703.251937,54000,-106.08465576171875
1680860707.628463,54400,-102.452392578125
1680860712.072584,54800,-98.82920837402344
1680860716.431869,55200,-95.67949676513672
1680860720.7448802,55600,-93.35895538330078
1680860725.148138,56000,-89.68091583251953
1680860729.543123,56400,-87.02783966064453
1680860733.896478,56800,-83.95378875732422
1680860738.289674,57200,-81.10028076171875
1680860742.60489,57600,-79.05242919921875
1680860747.015813,58000,-75.85161590576172
1680860751.378648,58400,-73.09135437011719
1680860755.774977,58800,-70.37860870361328
1680860760.180033,59200,-67.61924743652344
1680860764.5850859,59600,-64.14212799072266
1680860769.030954,60000,-60.38227844238281
