Wall time,Step,Value
1684646179.602397,16384,-80.26866912841797
1684646232.050695,32768,-79.59471130371094
1684646284.262971,49152,-78.3020248413086
1684646336.6347,65536,-80.22620391845703
1684646389.37715,81920,-74.50712585449219
1684646442.0234041,98304,-75.81697082519531
1684646494.4227252,114688,-72.58206176757812
1684646547.120158,131072,-71.14881896972656
1684646599.802506,147456,-69.03630065917969
1684646652.7175949,163840,-65.05056762695312
1684646706.063321,180224,-61.975563049316406
1684646759.169905,196608,-61.85158157348633
1684646808.562171,212992,-58.28815460205078
1684646858.276365,229376,-54.832740783691406
1684646908.164351,245760,-52.7430305480957
1684646957.8879218,262144,-49.29610824584961
1684647007.7896042,278528,-48.710514068603516
1684647057.181346,294912,-46.7988395690918
1684647106.795899,311296,-44.47197723388672
1684647156.937016,327680,-41.844566345214844
1684647206.957442,344064,-41.63808059692383
1684647257.3221068,360448,-37.83069610595703
1684647307.4981902,376832,-36.31291198730469
1684647357.29475,393216,-37.40788269042969
1684647407.031413,409600,-36.319297790527344
1684647456.8502872,425984,-33.73463439941406
1684647507.223536,442368,-32.711883544921875
1684647557.090548,458752,-30.656572341918945
1684647607.2966778,475136,-31.197668075561523
1684647657.210731,491520,-27.39661407470703
1684647710.2254841,507904,-26.9267578125
1684647759.757046,524288,-28.634469985961914
1684647809.302672,540672,-28.126300811767578
1684647859.203755,557056,-25.864835739135742
1684647909.292007,573440,-27.163484573364258
1684647959.121283,589824,-25.356067657470703
1684648008.624674,606208,-22.81671142578125
1684648058.2982552,622592,-24.136037826538086
1684648108.00371,638976,-21.813865661621094
1684648157.88173,655360,-23.043621063232422
1684648207.898391,671744,-24.78221893310547
1684648257.661561,688128,-21.496015548706055
1684648307.4563498,704512,-19.239717483520508
1684648357.093919,720896,-17.799755096435547
1684648406.8486102,737280,-18.664419174194336
1684648456.706628,753664,-19.496692657470703
1684648506.778455,770048,-18.471059799194336
1684648556.495896,786432,-18.893848419189453
1684648606.230689,802816,-17.560142517089844
