Wall time,Step,Value
1682723793.445586,16384,-197.66818237304688
1682723842.3814569,32768,-177.49374389648438
1682723890.956816,49152,-176.71060180664062
1682723939.707786,65536,-183.74261474609375
1682723988.274697,81920,-172.17942810058594
1682724037.227891,98304,-170.37205505371094
1682724086.120961,114688,-168.74734497070312
1682724134.830892,131072,-158.16944885253906
1682724183.1860201,147456,-266.6828918457031
1682724231.4034429,163840,-201.4921875
1682724279.5710669,180224,-162.7676239013672
1682724327.338536,196608,-193.27212524414062
1682724375.686513,212992,-166.56105041503906
